"ID","TWD97X","TWD97Y","area_km2"
1,276111.9403,2764840.544,NA
2,275446.6524,2765477.174,NA
3,274911.3067,2767352.731,NA
4,273915.4805,2769882.255,0.032652
5,273700.569,2770141.599,0.029196
6,272535.3288,2769878.728,0.019764
7,272492.7509,2770498.455,0.039024
8,272417.6023,2771697.707,0.045252
9,271724.0086,2772538.664,0.038196
10,273834.6687,2765201.274,NA
11,273538.7068,2765710.537,NA
12,274463.4699,2765258.799,NA
13,274401.6732,2765728.261,NA
14,274017.0916,2766267.446,NA
15,274149.6318,2767181.575,NA
16,273458.3307,2766879.735,0.078516
17,272816.3239,2768868.395,0.040896
18,273076.4418,2769268.016,0.034848
19,271651.092,2768925.191,0.011412
20,271591.0412,2768866.425,0.011412
21,271233.0182,2770157.284,0.108864
22,269577.2276,2773770.259,0.058464
23,268805.9314,2774803.979,0.02718
24,272194.9033,2764696.27,NA
25,272737.1423,2764732.144,NA
26,272490.5745,2765019.04,NA
27,272088.5173,2766077.748,0.046908
28,271291.4887,2767592.053,0.012924
29,271886.7331,2765361.871,NA
30,271907.3365,2768101.922,0.038268
31,271434.556,2768443.279,0.040896
32,270461.3472,2770179.888,0.043128
33,270166.9438,2771230.354,0.024768
34,269477.3979,2772328.04,0.049932
35,269334.7945,2772817.075,0.0396
36,271158.5243,2764182.28,NA
37,270149.9121,2763632.941,NA
38,270522.8667,2764265.202,NA
39,270719.2647,2764735.245,NA
40,271320.0452,2764697.959,NA
41,270559.6439,2768255.056,0.010332
42,270235.8738,2768139.151,NA
43,270585.6587,2768797.958,NA
44,269174.5285,2768401.048,NA
45,269277.2571,2769348.126,0.034488
46,269376.8191,2770484.667,0.071352
47,269346.6155,2771236.885,0.036504
48,268952.7501,2771523.464,0.050004
49,268604.1864,2764665.162,NA
50,269146.0324,2764957.523,NA
51,269718.5773,2764731.039,NA
52,269598.4623,2766763.253,NA
53,269296.2317,2767898.913,NA
54,268105.2899,2764286.877,NA
55,267985.6637,2765522.624,NA
56,268362.088,2766659.393,NA
57,268392.3926,2767387.782,0.052956
58,267760.2231,2764023.041,NA
59,276198.5394,2768243.623,NA
60,275010.3401,2769943.006,NA
61,276473.0294,2766176.018,NA
62,278110.7314,2766795.221,NA
63,277751.8255,2767439.813,NA
64,277125.8677,2768091.838,NA
65,277009.7316,2769358.977,NA
66,276715.0878,2770102.269,NA
67,276460.2919,2769373.346,NA
68,276185.6904,2770096.135,NA
69,278024.3623,2763338.574,NA
70,277596.428,2770105.438,NA
71,277967.8731,2771141.056,NA
72,277334.3629,2771164.789,NA
73,276478.7337,2773719.619,NA
74,275222.0789,2770343.298,0.046332
75,276229.1419,2771773.622,NA
76,276238.063,2773200.326,NA
77,275286.8361,2773365.189,NA
78,273720.7396,2773153.138,0.032724
79,272502.615,2775757.248,NA
80,273112.5396,2776348.426,0.009756
81,273986.9265,2770812.898,0.028116
82,271406.7602,2774915.769,0.070488
83,277840.1479,2764104.222,NA
84,277881.5373,2764607.225,NA
85,277752.3201,2765569.159,NA
86,277565.8531,2765272.845,NA
87,272669.1851,2777323.362,NA
88,263959.8394,2763511.555,NA
89,266222.4752,2765026.463,NA
90,263995.9041,2766529.347,0.020484
91,262835.3738,2767835.507,0.032724
92,264323.9612,2767921.414,0.0531
93,263238.9664,2768728.932,NA
94,262982.1454,2769380.968,0.075744
95,265913.4094,2764887.402,NA
96,264933.4063,2763639.782,NA
97,264349.4043,2764918.337,NA
98,264133.9487,2765151.604,NA
99,265418.3222,2765132.773,NA
100,265534.9253,2765749.882,NA
101,264708.1793,2766249.344,NA
102,261301.6391,2760580.833,NA
103,261705.0454,2760727.585,NA
104,260850.4697,2761022.043,NA
105,260451.5859,2761009.305,NA
106,262224.5313,2761813.561,NA
107,257160.5841,2765118.564,NA
108,255839.1363,2765027.969,NA
109,256039.1246,2766291.733,NA
110,255220.9275,2766431.924,NA
111,254357.2935,2766266.806,NA
112,254093.869,2765937.711,NA
113,254395.8333,2764707.458,NA
114,253195.0444,2765040.766,NA
115,261575.7267,2761762.228,NA
116,260652.2964,2762397.454,NA
117,259687.133,2762395.8,NA
118,257829.4148,2763520.231,NA
119,256639.7936,2764367.14,NA
120,257398.2015,2764495.663,NA
121,252625.475,2759747.314,NA
122,251655.2367,2761501.469,NA
123,251384.9233,2760552.442,NA
124,250745.7579,2760341.27,NA
125,256617.2807,2762483.938,NA
126,255160.8095,2762093.499,NA
127,254948.9238,2761569.855,NA
128,254073.1388,2762431.649,NA
129,252820.5025,2761858.264,NA
130,252920.7419,2762720.249,NA
131,252545.2147,2763091.321,NA
132,254659.1921,2761014.647,NA
133,252703.7974,2760914.921,NA
134,253029.0577,2760607.301,NA
135,279209.5386,2768911.519,NA
136,278402.0816,2769598.985,NA
137,279491.9294,2763682.386,NA
138,266914.6867,2767906.683,NA
139,266078.9246,2767657.462,NA
140,267972.4674,2768638.636,NA
141,266606.2967,2768491.344,NA
142,265633.1403,2768018.258,0.024984
143,265320.8036,2767949.643,0.050904
144,265696.5579,2768758.783,NA
145,267395.3584,2769044.156,0.028728
146,266350.0175,2769366.914,NA
147,265568.7545,2769592.969,NA
148,264907.7479,2769516.381,NA
149,264763.7021,2770497.907,0.083808
150,265283.7998,2770631.331,0.048888
151,267397.8736,2771148.575,0.029448
152,267446.121,2771549.795,NA
153,267464.4244,2772352.689,0.030204
154,264950.9478,2770921.908,0.065556
155,266279.0589,2772274.635,NA
156,266066.5671,2772509.802,0.02718
157,265732.255,2772556.655,0.020268
158,266979.3558,2773209.63,NA
159,266237.9661,2765794.758,0.0126
160,266904.9163,2765842.365,0.018864
161,267232.5639,2765980.903,0.008064
162,266191.1062,2766644.473,0.01386
163,265789.1728,2766859.955,NA
164,266862.3084,2767161.697,NA
165,267252.747,2767587.773,NA
166,264228.0484,2769471.504,NA
167,264752.1266,2771441.117,0.027432
168,261404.8714,2766164.285,NA
169,260977.6406,2766252.477,NA
170,261936.0379,2766737.486,NA
171,261030.1367,2767114.245,NA
172,260022.0417,2767452.968,NA
173,260406.0636,2767910.887,NA
174,260191.4285,2769047.177,NA
175,259790.3,2770255.606,NA
176,258469.2449,2770036.109,NA
177,263115.6104,2763379.328,NA
178,262585.7788,2763398.772,NA
179,263444.5531,2763856.947,NA
180,262078.2638,2764311.108,NA
181,262084.1894,2765780.719,NA
182,261666.6504,2765875.089,NA
183,260406.6243,2765328.512,NA
184,258275.3334,2765127.213,NA
185,259667.8766,2765715.913,NA
186,258688.4051,2765668.379,NA
187,257900.3698,2765977.664,NA
188,257916.131,2766845.81,NA
189,256830.2965,2766744.164,NA
190,256874.2154,2767312.48,NA
191,258680.967,2767275.189,NA
192,262492.9824,2762433.457,NA
193,259061.2851,2767778.196,NA
194,258456.8929,2767608.394,NA
195,257728.822,2768365.118,NA
196,256647.3804,2769144.041,NA
197,262442.5928,2762863.19,NA
198,262324.0616,2763301.627,NA
199,261805.1968,2763660.885,NA
200,261430.0809,2763816.158,NA
201,260540.565,2763726.573,NA
202,259471.559,2763779.284,NA
203,261437.5142,2764469.128,NA
204,277085.5394,2767330.924,NA
205,269441.0059,2765715.268,NA
206,255237.6227,2765460.044,NA
207,270863.7695,2767386.502,0.005796
208,263602.8523,2767061.226,0.011988
209,276417.6591,2767569.686,NA
210,279000.9653,2768128.156,NA
211,277498.518,2772270.708,NA
212,270419.9528,2774229.684,0.061776
213,275596.8132,2764658.513,NA
214,264758.2088,2767838.279,0.088272
215,257728.1092,2759559.283,NA
216,280181.0712,2748070.574,NA
217,279513.7869,2748236.193,NA
218,280543.0045,2748615.248,NA
219,282072.1766,2748679.612,NA
220,266840.8379,2770483.409,NA
221,264168.1713,2767405.18,NA
222,253722.1971,2760670.793,NA
223,278521.3314,2747614.7,NA
