name,TWD97X,TWD97Y
1,276111.9403,2764840.544
2,275446.6524,2765477.174
3,274911.3067,2767352.731
4,273915.4805,2769882.255
5,273700.569,2770141.599
6,272535.3288,2769878.728
7,272492.7509,2770498.455
8,272417.6023,2771697.707
9,271724.0086,2772538.664
10,273834.6687,2765201.274
11,273538.7068,2765710.537
12,274463.4699,2765258.799
13,274401.6732,2765728.261
14,274017.0916,2766267.446
15,274149.6318,2767181.575
16,273458.3307,2766879.735
17,272816.3239,2768868.395
18,273076.4418,2769268.016
19,271651.092,2768925.191
20,271591.0412,2768866.425
21,271233.0182,2770157.284
22,269577.2276,2773770.259
23,268805.9314,2774803.979
24,272194.9033,2764696.27
25,272737.1423,2764732.144
26,272490.5745,2765019.04
27,272088.5173,2766077.748
28,271291.4887,2767592.053
29,271886.7331,2765361.871
30,271907.3365,2768101.922
31,271434.556,2768443.279
32,270461.3472,2770179.888
33,270166.9438,2771230.354
34,269477.3979,2772328.04
35,269334.7945,2772817.075
36,271158.5243,2764182.28
37,270149.9121,2763632.941
38,270522.8667,2764265.202
39,270719.2647,2764735.245
40,271320.0452,2764697.959
41,270559.6439,2768255.056
42,270235.8738,2768139.151
43,270585.6587,2768797.958
44,269174.5285,2768401.048
45,269277.2571,2769348.126
46,269376.8191,2770484.667
47,269346.6155,2771236.885
48,268952.7501,2771523.464
49,268604.1864,2764665.162
50,269146.0324,2764957.523
51,269718.5773,2764731.039
52,269598.4623,2766763.253
53,269296.2317,2767898.913
54,268105.2899,2764286.877
55,267985.6637,2765522.624
56,268362.088,2766659.393
57,268392.3926,2767387.782
58,267760.2231,2764023.041
59,276198.5394,2768243.623
60,275010.3401,2769943.006
61,276473.0294,2766176.018
62,278110.7314,2766795.221
63,277751.8255,2767439.813
64,277125.8677,2768091.838
65,277009.7316,2769358.977
66,276715.0878,2770102.269
67,276460.2919,2769373.346
68,276185.6904,2770096.135
69,278024.3623,2763338.574
70,277596.428,2770105.438
71,277967.8731,2771141.056
72,277334.3629,2771164.789
73,276478.7337,2773719.619
74,275222.0789,2770343.298
75,276229.1419,2771773.622
76,276238.063,2773200.326
77,275286.8361,2773365.189
78,273720.7396,2773153.138
79,272502.615,2775757.248
80,273112.5396,2776348.426
81,273986.9265,2770812.898
82,271406.7602,2774915.769
83,277840.1479,2764104.222
84,277881.5373,2764607.225
85,277752.3201,2765569.159
86,277565.8531,2765272.845
87,272669.1851,2777323.362
88,263959.8394,2763511.555
89,266222.4752,2765026.463
90,263995.9041,2766529.347
91,262835.3738,2767835.507
92,264323.9612,2767921.414
93,263238.9664,2768728.932
94,262982.1454,2769380.968
95,265913.4094,2764887.402
96,264933.4063,2763639.782
97,264349.4043,2764918.337
98,264133.9487,2765151.604
99,265418.3222,2765132.773
100,265534.9253,2765749.882
101,264708.1793,2766249.344
102,261301.6391,2760580.833
103,261705.0454,2760727.585
104,260850.4697,2761022.043
105,260451.5859,2761009.305
106,262224.5313,2761813.561
107,257160.5841,2765118.564
108,255839.1363,2765027.969
109,256039.1246,2766291.733
110,255220.9275,2766431.924
111,254357.2935,2766266.806
112,254093.869,2765937.711
113,254395.8333,2764707.458
114,253195.0444,2765040.766
115,261575.7267,2761762.228
